point cloud with 30522 points in dimension 768
value range: [0.15424,2.89267]
distance matrix with 30522 points, using threshold at enclosing radius 2.06595
persistence intervals in dim 0:
 [0,0.15424)
 [0,0.155393)
 [0,0.155618)
 [0,0.156082)
 [0,0.156334)
 [0,0.156753)
 [0,0.156906)
 [0,0.156994)
 [0,0.157073)
 [0,0.157135)
 [0,0.157335)
 [0,0.15743)
 [0,0.157432)
 [0,0.157454)
 [0,0.157536)
 [0,0.157605)
 [0,0.157896)
 [0,0.157925)
 [0,0.157943)
 [0,0.157985)
 [0,0.158099)
 [0,0.158151)
 [0,0.158152)
 [0,0.158284)
 [0,0.158415)
 [0,0.158451)
 [0,0.158471)
 [0,0.15849)
 [0,0.158496)
 [0,0.158509)
 [0,0.158529)
 [0,0.158586)
 [0,0.158657)
 [0,0.15866)
 [0,0.158691)
 [0,0.158697)
 [0,0.158778)
 [0,0.15888)
 [0,0.15889)
 [0,0.158923)
 [0,0.158943)
 [0,0.15897)
 [0,0.158991)
 [0,0.159049)
 [0,0.159068)
 [0,0.15914)
 [0,0.159141)
 [0,0.159162)
 [0,0.159172)
 [0,0.159182)
 [0,0.159214)
 [0,0.15922)
 [0,0.159224)
 [0,0.159238)
 [0,0.159303)
 [0,0.159304)
 [0,0.15931)
 [0,0.159319)
 [0,0.15932)
 [0,0.159325)
 [0,0.159356)
 [0,0.159406)
 [0,0.159429)
 [0,0.159459)
 [0,0.159478)
 [0,0.159507)
 [0,0.159549)
 [0,0.159576)
 [0,0.159593)
 [0,0.159634)
 [0,0.159648)
 [0,0.159665)
 [0,0.159696)
 [0,0.159709)
 [0,0.159716)
 [0,0.159728)
 [0,0.159732)
 [0,0.159781)
 [0,0.159877)
 [0,0.159915)
 [0,0.15992)
 [0,0.159944)
 [0,0.159971)
 [0,0.159985)
 [0,0.159999)
 [0,0.160005)
 [0,0.160008)
 [0,0.160011)
 [0,0.160083)
 [0,0.160084)
 [0,0.160105)
 [0,0.160109)
 [0,0.160109)
 [0,0.160116)
 [0,0.160134)
 [0,0.160135)
 [0,0.160145)
 [0,0.160167)
 [0,0.160188)
 [0,0.160194)
 [0,0.160203)
 [0,0.16021)
 [0,0.160251)
 [0,0.160252)
 [0,0.160261)
 [0,0.160263)
 [0,0.160271)
 [0,0.160327)
 [0,0.16033)
 [0,0.16034)
 [0,0.160347)
 [0,0.160351)
 [0,0.16037)
 [0,0.160372)
 [0,0.160414)
 [0,0.160442)
 [0,0.160453)
 [0,0.160456)
 [0,0.160461)
 [0,0.160474)
 [0,0.160501)
 [0,0.160504)
 [0,0.160506)
 [0,0.160517)
 [0,0.160539)
 [0,0.160554)
 [0,0.16057)
 [0,0.160582)
 [0,0.160602)
 [0,0.160605)
 [0,0.160624)
 [0,0.160645)
 [0,0.160649)
 [0,0.160662)
 [0,0.160663)
 [0,0.160668)
 [0,0.160675)
 [0,0.160694)
 [0,0.160714)
 [0,0.160715)
 [0,0.160716)
 [0,0.160719)
 [0,0.160728)
 [0,0.160736)
 [0,0.160759)
 [0,0.160778)
 [0,0.160782)
 [0,0.160789)
 [0,0.160791)
 [0,0.160824)
 [0,0.160839)
 [0,0.160841)
 [0,0.160843)
 [0,0.160865)
 [0,0.160869)
 [0,0.160875)
 [0,0.160908)
 [0,0.160912)
 [0,0.16092)
 [0,0.16094)
 [0,0.160946)
 [0,0.160954)
 [0,0.160958)
 [0,0.160971)
 [0,0.160972)
 [0,0.160974)
 [0,0.160988)
 [0,0.160994)
 [0,0.160999)
 [0,0.161006)
 [0,0.16101)
 [0,0.161023)
 [0,0.161034)
 [0,0.16104)
 [0,0.161043)
 [0,0.161058)
 [0,0.161065)
 [0,0.161067)
 [0,0.161069)
 [0,0.161076)
 [0,0.161079)
 [0,0.161082)
 [0,0.161085)
 [0,0.16109)
 [0,0.161093)
 [0,0.161094)
 [0,0.161105)
 [0,0.161105)
 [0,0.16111)
 [0,0.161126)
 [0,0.16114)
 [0,0.161163)
 [0,0.161164)
 [0,0.16117)
 [0,0.161179)
 [0,0.16118)
 [0,0.161194)
 [0,0.161195)
 [0,0.161201)
 [0,0.161205)
 [0,0.161208)
 [0,0.161209)
 [0,0.161209)
 [0,0.161209)
 [0,0.16121)
 [0,0.161212)
 [0,0.161216)
 [0,0.161227)
 [0,0.161229)
 [0,0.16123)
 [0,0.161235)
 [0,0.161236)
 [0,0.161264)
 [0,0.16127)
 [0,0.16127)
 [0,0.161274)
 [0,0.161278)
 [0,0.161293)
 [0,0.161294)
 [0,0.161295)
 [0,0.161306)
 [0,0.161313)
 [0,0.161332)
 [0,0.161342)
 [0,0.161358)
 [0,0.161359)
 [0,0.161363)
 [0,0.161365)
 [0,0.161382)
 [0,0.161401)
 [0,0.161407)
 [0,0.161451)
 [0,0.161454)
 [0,0.161456)
 [0,0.161461)
 [0,0.161464)
 [0,0.161469)
 [0,0.161477)
 [0,0.16148)
 [0,0.161485)
 [0,0.161488)
 [0,0.161489)
 [0,0.161492)
 [0,0.161517)
 [0,0.161518)
 [0,0.16152)
 [0,0.16152)
 [0,0.161526)
 [0,0.161538)
 [0,0.16154)
 [0,0.161557)
 [0,0.161562)
 [0,0.161563)
 [0,0.16157)
 [0,0.161571)
 [0,0.161575)
 [0,0.161583)
 [0,0.161603)
 [0,0.161608)
 [0,0.16162)
 [0,0.161621)
 [0,0.161623)
 [0,0.161633)
 [0,0.161645)
 [0,0.161652)
 [0,0.161654)
 [0,0.161661)
 [0,0.161662)
 [0,0.161669)
 [0,0.16167)
 [0,0.161672)
 [0,0.161677)
 [0,0.16168)
 [0,0.161681)
 [0,0.161682)
 [0,0.161684)
 [0,0.161687)
 [0,0.161689)
 [0,0.16169)
 [0,0.161697)
 [0,0.161703)
 [0,0.161711)
 [0,0.161714)
 [0,0.161725)
 [0,0.161726)
 [0,0.161729)
 [0,0.16174)
 [0,0.161749)
 [0,0.161751)
 [0,0.161752)
 [0,0.161764)
 [0,0.161767)
 [0,0.161773)
 [0,0.161774)
 [0,0.161798)
 [0,0.161801)
 [0,0.161819)
 [0,0.16182)
 [0,0.161822)
 [0,0.161827)
 [0,0.16184)
 [0,0.161844)
 [0,0.161851)
 [0,0.16186)
 [0,0.161869)
 [0,0.161885)
 [0,0.161887)
