value range: [0.00367531,2]
distance matrix with 192 points, using threshold at enclosing radius 1.97444
persistent homology intervals in dim 0:
 [0,0.00367531):  {[36], [119]}
 [0,0.00391946):  {[26], [33]}
 [0,0.0120098):  {[22], [96]}
 [0,0.0173134):  {[31], [103]}
 [0,0.0217315):  {[73], [187]}
 [0,0.0311057):  {[18], [139]}
 [0,0.037954):  {[59], [117]}
 [0,0.0387451):  {[123], [185]}
 [0,0.0433426):  {[83], [157]}
 [0,0.0471186):  {[41], [152]}
 [0,0.0487061):  {[95], [155]}
 [0,0.048826):  {[68], [126]}
 [0,0.0496187):  {[48], [144]}
 [0,0.0515157):  {[30], [98]}
 [0,0.0522132):  {[70], [146]}
 [0,0.0559886):  {[56], [157]}
 [0,0.0560443):  {[103], [121]}
 [0,0.057488):  {[75], [140]}
 [0,0.0593071):  {[84], [134]}
 [0,0.0623736):  {[64], [184]}
 [0,0.0633425):  {[16], [24]}
 [0,0.0637053):  {[67], [122]}
 [0,0.0651112):  {[150], [176]}
 [0,0.0672609):  {[10], [85]}
 [0,0.0692368):  {[99], [112]}
 [0,0.0702075):  {[74], [157]}
 [0,0.0714516):  {[62], [76]}
 [0,0.0728647):  {[113], [153]}
 [0,0.0741239):  {[101], [187]}
 [0,0.0743236):  {[86], [117]}
 [0,0.0746054):  {[91], [154]}
 [0,0.0753955):  {[35], [146]}
 [0,0.076909):  {[38], [52]}
 [0,0.0782455):  {[102], [104]}
 [0,0.0792212):  {[108], [180]}
 [0,0.0800348):  {[144], [81]}
 [0,0.0802451):  {[44], [50]}
 [0,0.0814685):  {[0], [33]}
 [0,0.0831358):  {[13], [100]}
 [0,0.0831521):  {[176], [190]}
 [0,0.084341):  {[46], [135]}
 [0,0.0857401):  {[8], [146]}
 [0,0.0870489):  {[66], [161]}
 [0,0.0884133):  {[42], [69]}
 [0,0.0959033):  {[57], [164]}
 [0,0.0970981):  {[55], [72]}
 [0,0.0988752):  {[134], [151]}
 [0,0.0994522):  {[49], [152]}
 [0,0.108768):  {[9], [106]}
 [0,0.109526):  {[2], [137]}
 [0,0.111131):  {[27], [176]}
 [0,0.111798):  {[7], [76]}
 [0,0.115939):  {[89], [189]}
 [0,0.119187):  {[1], [162]}
 [0,0.121955):  {[118], [159]}
 [0,0.122089):  {[119], [155]}
 [0,0.123527):  {[80], [107]}
 [0,0.124774):  {[65], [173]}
 [0,0.126595):  {[37], [182]}
 [0,0.127383):  {[184], [186]}
 [0,0.127864):  {[145], [166]}
